,Company,Rating,Job_Title,Location,Salary,Job_Description,URL
10,Stealth Mode Startup Company,,Senior Carbon Materials Scientist,"San Jose, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1044074&s=58&guid=0000017597c5aada830b3525b380da18&src=GD_JOB_AD&t=SR&vt=w&cs=1_29c85433&cb=1604569116081&jobListingId=3720962172
11,PayPal,4,Lead Data Scientist,"San Jose, CA",130K-205K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=1044074&s=58&guid=0000017597c5aada830b3525b380da18&src=GD_JOB_AD&t=SR&vt=w&cs=1_3dbb5c9a&cb=1604569116081&jobListingId=3724210926
12,Tailored Management,4.6,Data Analyst (Learning and Development),"Menlo Park, CA",48K-88K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=1044076&s=58&guid=0000017597c5aada830b3525b380da18&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_e5797a37&cb=1604569116082&jobListingId=3671203748
13,Entefy,4.3,Data Scientist,"Palo Alto, CA",112K-133K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=1063072&s=58&guid=0000017597c5aada830b3525b380da18&src=GD_JOB_AD&t=SR&vt=w&cs=1_db446b0e&cb=1604569116082&jobListingId=3478791949
14,Lucid Motors,3.8,"Lead Data Engineer, Big Data","Newark, CA",120K-217K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=1044074&s=58&guid=0000017597c5aada830b3525b380da18&src=GD_JOB_AD&t=SR&vt=w&cs=1_f6c5ace1&cb=1604569116083&jobListingId=3685119585
15,Samsung Research America,3.8,Sr. DATA SCIENTIST,"Mountain View, CA",155K-247K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=1092355&s=58&guid=0000017597c5aada830b3525b380da18&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_90dc55bf&cb=1604569116084&jobListingId=3678192458
16,Chan Zuckerberg Initiative,3.7,"Data Engineer, Education","Redwood City, CA",123K-219K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=1132891&s=58&guid=0000017597c5aada830b3525b380da18&src=GD_JOB_AD&t=SR&vt=w&cs=1_72cd2d0a&cb=1604569116085&jobListingId=3711802950
17,Evernote,4.2,"Data Scientist, Analytics","Redwood City, CA",119K-191K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=1088209&s=58&guid=0000017597c5aada830b3525b380da18&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_abf2a84f&cb=1604569116085&jobListingId=3702393325
18,Yummly,4.8,"Senior Data Scientist, Machine Learning","San Carlos, CA",157K-246K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=1130956&s=58&guid=0000017597c5aada830b3525b380da18&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_debc015e&cb=1604569116085&jobListingId=3720029884
19,PPD,3.8,"Senior Scientist - GMP, Method Development , ELISA , Cell-Based Assay","South San Francisco, CA",46K-88K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=120&ao=1044074&s=58&guid=0000017597c5aada830b3525b380da18&src=GD_JOB_AD&t=SR&vt=w&cs=1_4560eac3&cb=1604569116086&jobListingId=3723331117
20,GRAIL,3.7,"Data Scientist, Assay Development","Menlo Park, CA",115K-181K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=121&ao=853539&s=58&guid=0000017597c5aada830b3525b380da18&src=GD_JOB_AD&t=SR&vt=w&cs=1_972470a8&cb=1604569116087&jobListingId=3593487673
21,Intuit,4.3,Staff Business Data Analyst,"Mountain View, CA",103K-177K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=1044074&s=58&guid=0000017597c5aada830b3525b380da18&src=GD_JOB_AD&t=SR&vt=w&cs=1_e7eefda3&cb=1604569116088&jobListingId=3692258058
22,PayPal,4,Data Scientist 1,"San Jose, CA",94K-152K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=123&ao=1044074&s=58&guid=0000017597c5aada830b3525b380da18&src=GD_JOB_AD&t=SR&vt=w&cs=1_de0acf36&cb=1604569116088&jobListingId=3640694343
23,NetApp,3.7,"Data Scientist, Cloud Business Operations","Sunnyvale, CA",111K-176K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=124&ao=907441&s=58&guid=0000017597c5aada830b3525b380da18&src=GD_JOB_AD&t=SR&vt=w&cs=1_4c51572d&cb=1604569116088&jobListingId=3682612295
24,Roche,4.2,"Principal Bioinformatics Scientist II, Development","Pleasanton, CA",132K-202K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=125&ao=1044074&s=58&guid=0000017597c5aada830b3525b380da18&src=GD_JOB_AD&t=SR&vt=w&cs=1_ea8f2870&cb=1604569116089&jobListingId=3686125962
25,Intuit,4.3,Staff Business Data Analysis,"Mountain View, CA",103K-172K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=126&ao=1044074&s=58&guid=0000017597c5aada830b3525b380da18&src=GD_JOB_AD&t=SR&vt=w&cs=1_2350cff5&cb=1604569116090&jobListingId=3723481674
26,Specific Diagnostics,2.6,"Data Transformation Engineer, Medical Diagnostics","Mountain View, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=127&ao=1044077&s=58&guid=0000017597c5aada830b3525b380da18&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_ebe6486e&cb=1604569116091&jobListingId=3665485525
27,Wind River,4.1,Data Architect/Scientist,"Alameda, CA",95K-155K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=128&ao=1087378&s=58&guid=0000017597c5aada830b3525b380da18&src=GD_JOB_AD&t=SR&vt=w&cs=1_482ac966&cb=1604569116091&jobListingId=3674749598
28,Edgesource Corporation,3.7,Remote Data Engineer,"Mountain View, CA",72K-133K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=129&ao=1044074&s=58&guid=0000017597c5aada830b3525b380da18&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_597b1598&cb=1604569116092&jobListingId=3716567001
29,Bloom Energy,3.1,"Senior Business Intelligence Analyst, Service","San Jose, CA",71K-138K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=130&ao=1044074&s=58&guid=0000017597c5aada830b3525b380da18&src=GD_JOB_AD&t=SR&vt=w&cs=1_ad117b84&cb=1604569116092&jobListingId=3694856790
30,Facebook,4.5,"Data Scientist, Legal","Menlo Park, CA",108K-174K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=201&ao=1139205&s=149&guid=0000017597c5d0f0b963bce1ac6a39a0&src=GD_JOB_AD&t=SRFJ&vt=w&cs=1_32b0b334&cb=1604569125808&jobListingId=3680017820
31,Facebook,4.5,"Data Scientist, Auction and Delivery","Menlo Park, CA",121K-192K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=202&ao=1139178&s=149&guid=0000017597c5d0f0b963bce1ac6a39a0&src=GD_JOB_AD&t=SRFJ&vt=w&cs=1_859583ac&cb=1604569125809&jobListingId=3709147929
32,First Tech Federal Credit Union,3.2,Data Engineer - Master Data Management,"San Jose, CA",78K-146K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=201&ao=1114238&s=58&guid=0000017597c5d0f0b6fa17e8721b2051&src=GD_JOB_AD&t=SR&vt=w&cs=1_f200a1ec&cb=1604569125812&jobListingId=3730587771
33,System One,3.7,Scientist I,"San Jose, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=202&ao=1044072&s=58&guid=0000017597c5d0f0b6fa17e8721b2051&src=GD_JOB_AD&t=SR&vt=w&cs=1_3013de10&cb=1604569125812&jobListingId=3719876634
34,PayPal,4,Data Scientist,"San Jose, CA",111K-174K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=203&ao=1044074&s=58&guid=0000017597c5d0f0b6fa17e8721b2051&src=GD_JOB_AD&t=SR&vt=w&cs=1_5439db42&cb=1604569125813&jobListingId=3697874782
35,C3.ai,4.5,Data Scientist,"Redwood City, CA",111K-175K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=204&ao=952139&s=58&guid=0000017597c5d0f0b6fa17e8721b2051&src=GD_JOB_AD&t=SR&vt=w&cs=1_b9eb0902&cb=1604569125814&jobListingId=3595748965
36,C3.ai,4.5,Data Scientist Intern (Summer 2021),"Redwood City, CA",112K-178K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=205&ao=952139&s=58&guid=0000017597c5d0f0b6fa17e8721b2051&src=GD_JOB_AD&t=SR&vt=w&cs=1_cf635337&cb=1604569125815&jobListingId=3674735467
37,Amobee,3.8,"Scientist/Machine Learning Engineer, Applied Science","Redwood City, CA",83K-139K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=206&ao=1021349&s=58&guid=0000017597c5d0f0b6fa17e8721b2051&src=GD_JOB_AD&t=SR&vt=w&cs=1_62230920&cb=1604569125817&jobListingId=3537354093
38,Phantom AI,5,Data Engineer,"Burlingame, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=207&ao=1012587&s=58&guid=0000017597c5d0f0b6fa17e8721b2051&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_d5eeb848&cb=1604569125819&jobListingId=3594576485
39,Outset Medical,4.5,"Director, Data Analytics","San Jose, CA",81K-162K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=208&ao=1130750&s=58&guid=0000017597c5d0f0b6fa17e8721b2051&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_80258640&cb=1604569125820&jobListingId=3685598009
40,Plenty,4.5,Staff Data Scientist,"South San Francisco, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=209&ao=1059337&s=58&guid=0000017597c5d0f0b6fa17e8721b2051&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_54a2c13b&cb=1604569125821&jobListingId=3635360296
41,Waymo,3.3,Data Scientist,"Mountain View, CA",88K-134K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=210&ao=1006668&s=58&guid=0000017597c5d0f0b6fa17e8721b2051&src=GD_JOB_AD&t=SR&vt=w&cs=1_947c27a0&cb=1604569125822&jobListingId=3322175134
42,Facebook,4.5,"Data Scientist, Analytics","Menlo Park, CA",108K-174K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=211&ao=1139178&s=58&guid=0000017597c5d0f0b6fa17e8721b2051&src=GD_JOB_AD&t=SR&vt=w&cs=1_9e15ca6d&cb=1604569125822&jobListingId=3687677548
43,IntraEdge,3.8,Data Analyst,"Menlo Park, CA",51K-93K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=212&ao=352791&s=58&guid=0000017597c5d0f0b6fa17e8721b2051&src=GD_JOB_AD&t=SR&vt=w&cs=1_67a6516f&cb=1604569125823&jobListingId=3590423611
44,Kelly,3.4,Data Scientist,"Sunnyvale, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=213&ao=1044072&s=58&guid=0000017597c5d0f0b6fa17e8721b2051&src=GD_JOB_AD&t=SR&vt=w&cs=1_b5cb5742&cb=1604569125823&jobListingId=3715438103
45,Ngm Biopharmaceuticals,3.5,"Scientist, Discovery Biology","South San Francisco, CA",65K-134K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=214&ao=975242&s=58&guid=0000017597c5d0f0b6fa17e8721b2051&src=GD_JOB_AD&t=SR&vt=w&cs=1_579bc75d&cb=1604569125824&jobListingId=3671995241
46,System One,3.7,Data Scientist II,"Santa Clara, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=215&ao=1044072&s=58&guid=0000017597c5d0f0b6fa17e8721b2051&src=GD_JOB_AD&t=SR&vt=w&cs=1_f92953f3&cb=1604569125824&jobListingId=3712254316
47,Frontier Medicines,,R&D Informatics & Data Engineer,"South San Francisco, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=216&ao=1044077&s=58&guid=0000017597c5d0f0b6fa17e8721b2051&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_0df2d068&cb=1604569125825&jobListingId=3720311696
48,Raybeam,4.8,Data Analyst,"Mountain View, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=217&ao=1107018&s=58&guid=0000017597c5d0f0b6fa17e8721b2051&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_f11d4a5a&cb=1604569125825&jobListingId=3704700753
49,Confluent,4.4,Data Scientist - Growth and Marketing,"Mountain View, CA",124K-196K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=218&ao=960268&s=58&guid=0000017597c5d0f0b6fa17e8721b2051&src=GD_JOB_AD&t=SR&vt=w&cs=1_09c277b6&cb=1604569125826&jobListingId=3637361485
50,PayPal,4,Lead Decision Scientist,"San Jose, CA",137K-216K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=219&ao=1044074&s=58&guid=0000017597c5d0f0b6fa17e8721b2051&src=GD_JOB_AD&t=SR&vt=w&cs=1_0f95efd5&cb=1604569125826&jobListingId=3647991673
51,BayArea101,,Raman Spectroscopy Scientists,"San Jose, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=220&ao=1044077&s=58&guid=0000017597c5d0f0b6fa17e8721b2051&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_33a44062&cb=1604569125827&jobListingId=3725452390
52,Strivr,4.5,Lead Software Engineer - Data Platform,"Palo Alto, CA",86K-171K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=221&ao=1009419&s=58&guid=0000017597c5d0f0b6fa17e8721b2051&src=GD_JOB_AD&t=SR&vt=w&cs=1_cc936584&cb=1604569125827&jobListingId=3609988109
53,Arsenal Biosciences,5,"Scientist, Analytics - Process and Technical Development, Manufacturing","South San Francisco, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=222&ao=1070179&s=58&guid=0000017597c5d0f0b6fa17e8721b2051&src=GD_JOB_AD&t=SR&vt=w&cs=1_a09f008d&cb=1604569125827&jobListingId=3539312905
54,Black Sesame Technologies Inc,,Machine learning engineer,"Santa Clara, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=223&ao=1044077&s=58&guid=0000017597c5d0f0b6fa17e8721b2051&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_a39b1b90&cb=1604569125827&jobListingId=3681402499
55,Arsenal Biosciences,5,Process Development Scientist (Process Development and Technology Operations),"South San Francisco, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=224&ao=1070179&s=58&guid=0000017597c5d0f0b6fa17e8721b2051&src=GD_JOB_AD&t=SR&vt=w&cs=1_e7889d39&cb=1604569125828&jobListingId=3638637782
56,Waymo,3.3,"Data Scientist / Software Engineer, Planner","Mountain View, CA",111K-180K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=225&ao=1006668&s=58&guid=0000017597c5d0f0b6fa17e8721b2051&src=GD_JOB_AD&t=SR&vt=w&cs=1_268e5a02&cb=1604569125829&jobListingId=3715182774
57,realtor.com,2.9,Staff Data Scientist,"Santa Clara, CA",123K-196K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=226&ao=1053871&s=58&guid=0000017597c5d0f0b6fa17e8721b2051&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_1199bfd9&cb=1604569125829&jobListingId=3704786417
58,Intuit,4.3,Staff Data Scientist,"Mountain View, CA",142K-225K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=227&ao=1053778&s=58&guid=0000017597c5d0f0b6fa17e8721b2051&src=GD_JOB_AD&t=SR&vt=w&cs=1_307b971f&cb=1604569125829&jobListingId=3726421707
59,Next Insurance,4.5,"Data Scientist, Analytics","Palo Alto, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=228&ao=4120&s=58&guid=0000017597c5d0f0b6fa17e8721b2051&src=GD_JOB_AD&t=SR&vt=w&cs=1_aad55e78&cb=1604569125830&jobListingId=3675325270
60,Google,4.5,"Data Scientist, Engineering","Mountain View, CA",118K-193K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=229&ao=37049&s=58&guid=0000017597c5d0f0b6fa17e8721b2051&src=GD_JOB_AD&t=SR&vt=w&cs=1_3949d297&cb=1604569125830&jobListingId=3511711154
61,Spectra Infosystems,3.5,Entry Level Data Scientist,"San Mateo, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=230&ao=4134&s=58&guid=0000017597c5d0f0b6fa17e8721b2051&src=GD_JOB_AD&t=SR&vt=w&cs=1_5a98a7f4&cb=1604569125831&jobListingId=3721713739
62,GRAIL,3.7,Senior or Staff Data Scientist,"Menlo Park, CA",165K-257K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=301&ao=853539&s=58&guid=0000017597c5f476889038e6b71cd7ef&src=GD_JOB_AD&t=SR&vt=w&cs=1_d193d7e2&cb=1604569134637&jobListingId=3545158569
63,Next Insurance,4.5,"Data Scientist, Machine Learning","Palo Alto, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=302&ao=1091461&s=58&guid=0000017597c5f476889038e6b71cd7ef&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_144192c5&cb=1604569134637&jobListingId=3663428736
64,PayPal,4,Senior Data Scientist,"San Jose, CA",116K-188K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=303&ao=1044074&s=58&guid=0000017597c5f476889038e6b71cd7ef&src=GD_JOB_AD&t=SR&vt=w&cs=1_7e5dbbfa&cb=1604569134637&jobListingId=3625801695
65,Facebook,4.5,Data Scientist,"Fremont, CA",108K-174K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=304&ao=1139178&s=58&guid=0000017597c5f476889038e6b71cd7ef&src=GD_JOB_AD&t=SR&vt=w&cs=1_95982f98&cb=1604569134638&jobListingId=3680017675
66,Plume,4.6,Data Scientist (Multiple Levels),"Palo Alto, CA",84K-137K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=305&ao=8095&s=58&guid=0000017597c5f476889038e6b71cd7ef&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_7847e5c3&cb=1604569134639&jobListingId=3679260879
67,Stockpile,3.5,Data Analyst,"Palo Alto, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=306&ao=1115916&s=58&guid=0000017597c5f476889038e6b71cd7ef&src=GD_JOB_AD&t=SR&vt=w&cs=1_69b8e385&cb=1604569134640&jobListingId=3699432694
68,Tesla,3.6,"Data Scientist, Charging Data & Modeling","Palo Alto, CA",97K-154K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=307&ao=1091461&s=58&guid=0000017597c5f476889038e6b71cd7ef&src=GD_JOB_AD&t=SR&vt=w&cs=1_412aaf08&cb=1604569134641&jobListingId=3682915357
69,Facebook,4.5,"Data Scientist, Product Analytics","Menlo Park, CA",119K-188K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=308&ao=1139178&s=58&guid=0000017597c5f476889038e6b71cd7ef&src=GD_JOB_AD&t=SR&vt=w&cs=1_68e8dd88&cb=1604569134642&jobListingId=3721555106
70,Tesla,3.6,Data Scientist,"Fremont, CA",98K-154K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=309&ao=1091461&s=58&guid=0000017597c5f476889038e6b71cd7ef&src=GD_JOB_AD&t=SR&vt=w&cs=1_328b8a0b&cb=1604569134643&jobListingId=3664091865
71,GRAIL,3.7,Bioinformatics Scientist 2,"Menlo Park, CA",120K-191K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=310&ao=853539&s=58&guid=0000017597c5f476889038e6b71cd7ef&src=GD_JOB_AD&t=SR&vt=w&cs=1_f8b70f9c&cb=1604569134644&jobListingId=3372616764
72,Houzz,4,Data Scientist - Marketing,"Palo Alto, CA",74K-122K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=311&ao=148364&s=58&guid=0000017597c5f476889038e6b71cd7ef&src=GD_JOB_AD&t=SR&vt=w&cs=1_959de8e3&cb=1604569134644&jobListingId=3710171586
73,Tesla,3.6,"Data Scientist, Toolbox Software","Palo Alto, CA",97K-154K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=312&ao=1091461&s=58&guid=0000017597c5f476889038e6b71cd7ef&src=GD_JOB_AD&t=SR&vt=w&cs=1_f24ac92b&cb=1604569134645&jobListingId=3663429520
74,Snowflake,4.2,Data Scientist - Security,"San Mateo, CA",134K-213K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=313&ao=8095&s=58&guid=0000017597c5f476889038e6b71cd7ef&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_7a2b2fee&cb=1604569134645&jobListingId=3731236318
75,Verb Surgical,3.5,Data Scientist - Deep Learning,"Mountain View, CA",117K-143K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=314&ao=37049&s=58&guid=0000017597c5f476889038e6b71cd7ef&src=GD_JOB_AD&t=SR&vt=w&cs=1_df4fde2f&cb=1604569134646&jobListingId=3378594154
76,Facebook,4.5,"Data Scientist, Analytics - Business Integrity","Menlo Park, CA",119K-188K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=315&ao=320809&s=58&guid=0000017597c5f476889038e6b71cd7ef&src=GD_JOB_AD&t=SR&vt=w&cs=1_9471df32&cb=1604569134647&jobListingId=3733730634
77,TikTok,4.1,Data Scientist - TikTok Ads,"Mountain View, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=316&ao=1091461&s=58&guid=0000017597c5f476889038e6b71cd7ef&src=GD_JOB_AD&t=SR&vt=w&cs=1_e2f54a02&cb=1604569134647&jobListingId=3663410868
78,Facebook,4.5,Decision Scientist,"Menlo Park, CA",121K-192K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=317&ao=1139178&s=58&guid=0000017597c5f476889038e6b71cd7ef&src=GD_JOB_AD&t=SR&vt=w&cs=1_63ad9276&cb=1604569134647&jobListingId=3680016194
79,Niantic,4,"Senior Scientist, Machine Learning","Sunnyvale, CA",132K-227K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=318&ao=1131295&s=58&guid=0000017597c5f476889038e6b71cd7ef&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_036cdfa0&cb=1604569134648&jobListingId=3620059041
80,Citrine Informatics,4.6,Data Scientist,"Redwood City, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=319&ao=148364&s=58&guid=0000017597c5f476889038e6b71cd7ef&src=GD_JOB_AD&t=SR&vt=w&cs=1_fc261fac&cb=1604569134648&jobListingId=3637062206
81,JD.com,3.6,Data Scientist - Business Growth,"Mountain View, CA",112K-181K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=320&ao=8095&s=58&guid=0000017597c5f476889038e6b71cd7ef&src=GD_JOB_AD&t=SR&vt=w&cs=1_e2320ee7&cb=1604569134649&jobListingId=3664724329
82,Tesla,3.6,"Data Scientist, Insurance","Fremont, CA",96K-151K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=321&ao=1091461&s=58&guid=0000017597c5f476889038e6b71cd7ef&src=GD_JOB_AD&t=SR&vt=w&cs=1_3b009e64&cb=1604569134650&jobListingId=3702254643
83,Plume,5,Data Scientist (Multiple Levels),"Palo Alto, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=322&ao=1091461&s=58&guid=0000017597c5f476889038e6b71cd7ef&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_854ae2c8&cb=1604569134650&jobListingId=3681163562
